category,scientific_name,common_names,conservation_status,primary_common_name
Mammal,Clethrionomys gapperi gapperi,Gapper's Red-Backed Vole,Not Evaluated,Gapper's Red-Backed Vole
Mammal,Bos bison,"American Bison, Bison",Not Evaluated,American Bison
Mammal,Bos taurus,"Aurochs, Aurochs, Domestic Cattle (Feral), Domesticated Cattle",Not Evaluated,Aurochs
Mammal,Ovis aries,"Domestic Sheep, Mouflon, Red Sheep, Sheep (Feral)",Not Evaluated,Domestic Sheep
Mammal,Cervus elaphus,Wapiti Or Elk,Not Evaluated,Wapiti Or Elk
Mammal,Odocoileus virginianus,White-Tailed Deer,Not Evaluated,White-Tailed Deer
Mammal,Sus scrofa,"Feral Hog, Wild Pig",Not Evaluated,Feral Hog
Mammal,Canis latrans,Coyote,Species of Concern,Coyote
Mammal,Canis lupus,Gray Wolf,Endangered,Gray Wolf
Mammal,Canis rufus,Red Wolf,Endangered,Red Wolf
Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",Not Evaluated,Common Gray Fox
Mammal,Vulpes fulva,"Black Fox, Cross Fox, Red Fox, Silver Fox",Not Evaluated,Black Fox
Mammal,Vulpes vulpes,Red Fox,Not Evaluated,Red Fox
Mammal,Felis concolor,Mountain Lion,Not Evaluated,Mountain Lion
Mammal,Felis silvestris,"Wild Cat, Wildcat",Not Evaluated,Wild Cat
Mammal,Lynx rufus,Bobcat,Not Evaluated,Bobcat
Mammal,Puma concolor,Panther (Mountain Lion),Not Evaluated,Panther (Mountain Lion)
Mammal,Mephitis mephitis,Striped Skunk,Not Evaluated,Striped Skunk
Mammal,Spilogale putorius,Eastern Spotted Skunk,Not Evaluated,Eastern Spotted Skunk
Mammal,Lontra canadensis,River Otter,Not Evaluated,River Otter
Mammal,Lutra canadensis,Northern River Otter,Not Evaluated,Northern River Otter
Mammal,Martes pennanti,Fisher,Not Evaluated,Fisher
Mammal,Mustela,Mink (Or Weasel),Not Evaluated,Mink (Or Weasel)
Mammal,Mustela frenata,Long-Tailed Weasel,Not Evaluated,Long-Tailed Weasel
Mammal,Mustela nivalis,Least Weasel,Not Evaluated,Least Weasel
Mammal,Mustela vison,Mink,Not Evaluated,Mink
Mammal,Procyon lotor,"Common Raccoon, Raccoon",Not Evaluated,Common Raccoon
Mammal,Ursus americanus,Black Bear,Not Evaluated,Black Bear
Mammal,Corynorhinus rafinesquii,Rafinesque's Big-Eared Bat,Not Evaluated,Rafinesque's Big-Eared Bat
Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern,Big Brown Bat
Mammal,Lasionycteris noctivagans,Silver-Haired Bat,Species of Concern,Silver-Haired Bat
Mammal,Lasiurus borealis,"Eastern Red Bat, Red Bat",Not Evaluated,Eastern Red Bat
Mammal,Lasiurus cinereus,Hoary Bat,Not Evaluated,Hoary Bat
Mammal,Myotis austroriparius,"Mississippi Myotis, Southeastern Myotis",Species of Concern,Mississippi Myotis
Mammal,Myotis grisescens,Gray Myotis,Endangered,Gray Myotis
Mammal,Myotis keenii,Keen's Myotis,Species of Concern,Keen's Myotis
Mammal,Myotis leibii,"Eastern Small-Footed Bat, Eastern Small-Footed Myotis",Species of Concern,Eastern Small-Footed Bat
Mammal,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Species of Concern,Little Brown Bat
Mammal,Myotis septentrionalis,"Northern Long-Eared Bat, Northern Myotis",Threatened,Northern Long-Eared Bat
Mammal,Myotis sodalis,"Indiana Bat, Indiana Or Social Myotis",Endangered,Indiana Bat
Mammal,Nycticeius humeralis,Evening Bat,Not Evaluated,Evening Bat
Mammal,Pipistrellus subflavus,Eastern Pipistrelle,Not Evaluated,Eastern Pipistrelle
