scientific_name,park_name,observations
Abies bifolia,Bryce National Park,109
Abies bifolia,Great Smoky Mountains National Park,72
Abies bifolia,Yellowstone National Park,215
Abies bifolia,Yosemite National Park,136
Abies concolor,Bryce National Park,83
Abies concolor,Great Smoky Mountains National Park,101
Abies concolor,Yellowstone National Park,241
Abies concolor,Yosemite National Park,205
Abies fraseri,Bryce National Park,109
Abies fraseri,Great Smoky Mountains National Park,81
Abies fraseri,Yellowstone National Park,218
Abies fraseri,Yosemite National Park,110
Abietinella abietina,Bryce National Park,101
Abietinella abietina,Great Smoky Mountains National Park,65
Abietinella abietina,Yellowstone National Park,243
Abietinella abietina,Yosemite National Park,183
Abronia ammophila,Bryce National Park,92
Abronia ammophila,Great Smoky Mountains National Park,72
Abronia ammophila,Yellowstone National Park,222
Abronia ammophila,Yosemite National Park,137
Abutilon theophrasti,Bryce National Park,84
Abutilon theophrasti,Great Smoky Mountains National Park,85
Abutilon theophrasti,Yellowstone National Park,262
Abutilon theophrasti,Yosemite National Park,138
Acalypha gracilens,Bryce National Park,68
Acalypha gracilens,Great Smoky Mountains National Park,98
Acalypha gracilens,Yellowstone National Park,263
Acalypha gracilens,Yosemite National Park,160
Acalypha ostryifolia,Bryce National Park,95
Acalypha ostryifolia,Great Smoky Mountains National Park,112
Acalypha ostryifolia,Yellowstone National Park,243
Acalypha ostryifolia,Yosemite National Park,150
Acalypha rhomboidea,Bryce National Park,90
Acalypha rhomboidea,Great Smoky Mountains National Park,96
Acalypha rhomboidea,Yellowstone National Park,245
Acalypha rhomboidea,Yosemite National Park,144
Acalypha virginica,Bryce National Park,108
Acalypha virginica,Great Smoky Mountains National Park,80
Acalypha virginica,Yellowstone National Park,229
Acalypha virginica,Yosemite National Park,143
Acanthus flammea,Bryce National Park,95
Acanthus flammea,Great Smoky Mountains National Park,68
Acanthus flammea,Yellowstone National Park,241
Acanthus flammea,Yosemite National Park,120
Accipiter cooperii,Bryce National Park,95
Accipiter cooperii,Great Smoky Mountains National Park,65
Accipiter cooperii,Yellowstone National Park,245
Accipiter cooperii,Yosemite National Park,138
Accipiter gentilis,Bryce National Park,109
Accipiter gentilis,Great Smoky Mountains National Park,78
Accipiter gentilis,Yellowstone National Park,232
Accipiter gentilis,Yosemite National Park,163
Accipiter striatus,Bryce National Park,62
Accipiter striatus,Great Smoky Mountains National Park,69
Accipiter striatus,Yellowstone National Park,200
Accipiter striatus,Yosemite National Park,115
Acer glabrum,Bryce National Park,30
Acer glabrum,Great Smoky Mountains National Park,123
Acer glabrum,Yellowstone National Park,247
Acer glabrum,Yosemite National Park,124
Acer glabrum var. torreyi,Bryce National Park,84
Acer glabrum var. torreyi,Great Smoky Mountains National Park,75
Acer glabrum var. torreyi,Yellowstone National Park,282
Acer glabrum var. torreyi,Yosemite National Park,160
Acer leucoderme,Bryce National Park,125
Acer leucoderme,Great Smoky Mountains National Park,107
Acer leucoderme,Yellowstone National Park,256
Acer leucoderme,Yosemite National Park,140
Acer macrophyllum,Bryce National Park,105
Acer macrophyllum,Great Smoky Mountains National Park,33
Acer macrophyllum,Yellowstone National Park,252
Acer macrophyllum,Yosemite National Park,134
Acer negundo,Bryce National Park,92
Acer negundo,Great Smoky Mountains National Park,72
Acer negundo,Yellowstone National Park,257
Acer negundo,Yosemite National Park,179
Acer negundo var. violaceum,Bryce National Park,91
Acer negundo var. violaceum,Great Smoky Mountains National Park,84
Acer negundo var. violaceum,Yellowstone National Park,222
Acer negundo var. violaceum,Yosemite National Park,164
Acer nigrum,Bryce National Park,110
Acer nigrum,Great Smoky Mountains National Park,86
Acer nigrum,Yellowstone National Park,258
Acer nigrum,Yosemite National Park,156
Acer pensylvanicum,Bryce National Park,91
Acer pensylvanicum,Great Smoky Mountains National Park,96
Acer pensylvanicum,Yellowstone National Park,284
Acer pensylvanicum,Yosemite National Park,134
Acer platanoides,Bryce National Park,83
Acer platanoides,Great Smoky Mountains National Park,53
Acer platanoides,Yellowstone National Park,243
Acer platanoides,Yosemite National Park,189
Acer rubrum var. rubrum,Bryce National Park,114
Acer rubrum var. rubrum,Great Smoky Mountains National Park,67
Acer rubrum var. rubrum,Yellowstone National Park,274
Acer rubrum var. rubrum,Yosemite National Park,147
Acer rubrum var. trilobum,Bryce National Park,99
Acer rubrum var. trilobum,Great Smoky Mountains National Park,105
Acer rubrum var. trilobum,Yellowstone National Park,251
Acer rubrum var. trilobum,Yosemite National Park,110
