scientific_name,park_name,observations,category,common_names,conservation_status,primary_common_name
Abies bifolia,Bryce National Park,109,Vascular Plant,Rocky Mountain Alpine Fir,Not Evaluated,Rocky Mountain Alpine Fir
Abies bifolia,Great Smoky Mountains National Park,72,Vascular Plant,Rocky Mountain Alpine Fir,Not Evaluated,Rocky Mountain Alpine Fir
Abies bifolia,Yellowstone National Park,215,Vascular Plant,Rocky Mountain Alpine Fir,Not Evaluated,Rocky Mountain Alpine Fir
Abies bifolia,Yosemite National Park,136,Vascular Plant,Rocky Mountain Alpine Fir,Not Evaluated,Rocky Mountain Alpine Fir
Abies concolor,Bryce National Park,83,Vascular Plant,"Balsam Fir, Colorado Fir, Concolor Fir, Silver Fir, White Balsam, White Fir",Not Evaluated,Balsam Fir
Abies concolor,Great Smoky Mountains National Park,101,Vascular Plant,"Balsam Fir, Colorado Fir, Concolor Fir, Silver Fir, White Balsam, White Fir",Not Evaluated,Balsam Fir
Abies concolor,Yellowstone National Park,241,Vascular Plant,"Balsam Fir, Colorado Fir, Concolor Fir, Silver Fir, White Balsam, White Fir",Not Evaluated,Balsam Fir
Abies concolor,Yosemite National Park,205,Vascular Plant,"Balsam Fir, Colorado Fir, Concolor Fir, Silver Fir, White Balsam, White Fir",Not Evaluated,Balsam Fir
Abies fraseri,Bryce National Park,109,Vascular Plant,Fraser Fir,Species of Concern,Fraser Fir
Abies fraseri,Great Smoky Mountains National Park,81,Vascular Plant,Fraser Fir,Species of Concern,Fraser Fir
Abies fraseri,Yellowstone National Park,218,Vascular Plant,Fraser Fir,Species of Concern,Fraser Fir
Abies fraseri,Yosemite National Park,110,Vascular Plant,Fraser Fir,Species of Concern,Fraser Fir
Abietinella abietina,Bryce National Park,101,Nonvascular Plant,Abietinella Moss,Not Evaluated,Abietinella Moss
Abietinella abietina,Great Smoky Mountains National Park,65,Nonvascular Plant,Abietinella Moss,Not Evaluated,Abietinella Moss
Abietinella abietina,Yellowstone National Park,243,Nonvascular Plant,Abietinella Moss,Not Evaluated,Abietinella Moss
Abietinella abietina,Yosemite National Park,183,Nonvascular Plant,Abietinella Moss,Not Evaluated,Abietinella Moss
Abronia ammophila,Bryce National Park,92,Vascular Plant,"Wyoming Sand Verbena, Yellowstone Sand Verbena",Species of Concern,Wyoming Sand Verbena
Abronia ammophila,Great Smoky Mountains National Park,72,Vascular Plant,"Wyoming Sand Verbena, Yellowstone Sand Verbena",Species of Concern,Wyoming Sand Verbena
Abronia ammophila,Yellowstone National Park,222,Vascular Plant,"Wyoming Sand Verbena, Yellowstone Sand Verbena",Species of Concern,Wyoming Sand Verbena
Abronia ammophila,Yosemite National Park,137,Vascular Plant,"Wyoming Sand Verbena, Yellowstone Sand Verbena",Species of Concern,Wyoming Sand Verbena
Abutilon theophrasti,Bryce National Park,84,Vascular Plant,Velvetleaf,Not Evaluated,Velvetleaf
Abutilon theophrasti,Great Smoky Mountains National Park,85,Vascular Plant,Velvetleaf,Not Evaluated,Velvetleaf
Abutilon theophrasti,Yellowstone National Park,262,Vascular Plant,Velvetleaf,Not Evaluated,Velvetleaf
Abutilon theophrasti,Yosemite National Park,138,Vascular Plant,Velvetleaf,Not Evaluated,Velvetleaf
Acalypha gracilens,Bryce National Park,68,Vascular Plant,"Narrow-Leaved Three-Seeded Mercury, Slender Copperleaf",Not Evaluated,Narrow-Leaved Three-Seeded Mercury
Acalypha gracilens,Great Smoky Mountains National Park,98,Vascular Plant,"Narrow-Leaved Three-Seeded Mercury, Slender Copperleaf",Not Evaluated,Narrow-Leaved Three-Seeded Mercury
Acalypha gracilens,Yellowstone National Park,263,Vascular Plant,"Narrow-Leaved Three-Seeded Mercury, Slender Copperleaf",Not Evaluated,Narrow-Leaved Three-Seeded Mercury
Acalypha gracilens,Yosemite National Park,160,Vascular Plant,"Narrow-Leaved Three-Seeded Mercury, Slender Copperleaf",Not Evaluated,Narrow-Leaved Three-Seeded Mercury
Acalypha ostryifolia,Bryce National Park,95,Vascular Plant,"Hornbeam Copper-Leaf, Hornbeam-Leaved Three-Seeded Mercury",Not Evaluated,Hornbeam Copper-Leaf
Acalypha ostryifolia,Great Smoky Mountains National Park,112,Vascular Plant,"Hornbeam Copper-Leaf, Hornbeam-Leaved Three-Seeded Mercury",Not Evaluated,Hornbeam Copper-Leaf
Acalypha ostryifolia,Yellowstone National Park,243,Vascular Plant,"Hornbeam Copper-Leaf, Hornbeam-Leaved Three-Seeded Mercury",Not Evaluated,Hornbeam Copper-Leaf
Acalypha ostryifolia,Yosemite National Park,150,Vascular Plant,"Hornbeam Copper-Leaf, Hornbeam-Leaved Three-Seeded Mercury",Not Evaluated,Hornbeam Copper-Leaf
Acalypha rhomboidea,Bryce National Park,90,Vascular Plant,"Common Threeseed Mercury, Virginia Threeseed Mercury",Not Evaluated,Common Threeseed Mercury
Acalypha rhomboidea,Great Smoky Mountains National Park,96,Vascular Plant,"Common Threeseed Mercury, Virginia Threeseed Mercury",Not Evaluated,Common Threeseed Mercury
Acalypha rhomboidea,Yellowstone National Park,245,Vascular Plant,"Common Threeseed Mercury, Virginia Threeseed Mercury",Not Evaluated,Common Threeseed Mercury
Acalypha rhomboidea,Yosemite National Park,144,Vascular Plant,"Common Threeseed Mercury, Virginia Threeseed Mercury",Not Evaluated,Common Threeseed Mercury
Acalypha virginica,Bryce National Park,108,Vascular Plant,"Virginia Copperleaf, Virginia Threeseed Mercury",Not Evaluated,Virginia Copperleaf
Acalypha virginica,Great Smoky Mountains National Park,80,Vascular Plant,"Virginia Copperleaf, Virginia Threeseed Mercury",Not Evaluated,Virginia Copperleaf
Acalypha virginica,Yellowstone National Park,229,Vascular Plant,"Virginia Copperleaf, Virginia Threeseed Mercury",Not Evaluated,Virginia Copperleaf
Acalypha virginica,Yosemite National Park,143,Vascular Plant,"Virginia Copperleaf, Virginia Threeseed Mercury",Not Evaluated,Virginia Copperleaf
Acanthus flammea,Bryce National Park,95,Bird,"Common Redpoll, Redpoll",Not Evaluated,Common Redpoll
Acanthus flammea,Great Smoky Mountains National Park,68,Bird,"Common Redpoll, Redpoll",Not Evaluated,Common Redpoll
Acanthus flammea,Yellowstone National Park,241,Bird,"Common Redpoll, Redpoll",Not Evaluated,Common Redpoll
Acanthus flammea,Yosemite National Park,120,Bird,"Common Redpoll, Redpoll",Not Evaluated,Common Redpoll
Accipiter cooperii,Bryce National Park,95,Bird,Cooper's Hawk,Species of Concern,Cooper's Hawk
Accipiter cooperii,Great Smoky Mountains National Park,65,Bird,Cooper's Hawk,Species of Concern,Cooper's Hawk
Accipiter cooperii,Yellowstone National Park,245,Bird,Cooper's Hawk,Species of Concern,Cooper's Hawk
Accipiter cooperii,Yosemite National Park,138,Bird,Cooper's Hawk,Species of Concern,Cooper's Hawk
Accipiter gentilis,Bryce National Park,109,Bird,Northern Goshawk,Not Evaluated,Northern Goshawk
Accipiter gentilis,Great Smoky Mountains National Park,78,Bird,Northern Goshawk,Not Evaluated,Northern Goshawk
Accipiter gentilis,Yellowstone National Park,232,Bird,Northern Goshawk,Not Evaluated,Northern Goshawk
Accipiter gentilis,Yosemite National Park,163,Bird,Northern Goshawk,Not Evaluated,Northern Goshawk
Accipiter striatus,Bryce National Park,62,Bird,Sharp-Shinned Hawk,Species of Concern,Sharp-Shinned Hawk
Accipiter striatus,Great Smoky Mountains National Park,69,Bird,Sharp-Shinned Hawk,Species of Concern,Sharp-Shinned Hawk
Accipiter striatus,Yellowstone National Park,200,Bird,Sharp-Shinned Hawk,Species of Concern,Sharp-Shinned Hawk
Accipiter striatus,Yosemite National Park,115,Bird,Sharp-Shinned Hawk,Species of Concern,Sharp-Shinned Hawk
Acer glabrum,Bryce National Park,30,Vascular Plant,Rocky Mountain Maple,Not Evaluated,Rocky Mountain Maple
Acer glabrum,Great Smoky Mountains National Park,123,Vascular Plant,Rocky Mountain Maple,Not Evaluated,Rocky Mountain Maple
Acer glabrum,Yellowstone National Park,247,Vascular Plant,Rocky Mountain Maple,Not Evaluated,Rocky Mountain Maple
Acer glabrum,Yosemite National Park,124,Vascular Plant,Rocky Mountain Maple,Not Evaluated,Rocky Mountain Maple
Acer glabrum var. torreyi,Bryce National Park,84,Vascular Plant,Torrey's Maple,Not Evaluated,Torrey's Maple
Acer glabrum var. torreyi,Great Smoky Mountains National Park,75,Vascular Plant,Torrey's Maple,Not Evaluated,Torrey's Maple
Acer glabrum var. torreyi,Yellowstone National Park,282,Vascular Plant,Torrey's Maple,Not Evaluated,Torrey's Maple
Acer glabrum var. torreyi,Yosemite National Park,160,Vascular Plant,Torrey's Maple,Not Evaluated,Torrey's Maple
Acer leucoderme,Bryce National Park,125,Vascular Plant,Chalk Maple,Not Evaluated,Chalk Maple
Acer leucoderme,Great Smoky Mountains National Park,107,Vascular Plant,Chalk Maple,Not Evaluated,Chalk Maple
Acer leucoderme,Yellowstone National Park,256,Vascular Plant,Chalk Maple,Not Evaluated,Chalk Maple
Acer leucoderme,Yosemite National Park,140,Vascular Plant,Chalk Maple,Not Evaluated,Chalk Maple
Acer macrophyllum,Bryce National Park,105,Vascular Plant,Bigleaf Maple,Not Evaluated,Bigleaf Maple
Acer macrophyllum,Great Smoky Mountains National Park,33,Vascular Plant,Bigleaf Maple,Not Evaluated,Bigleaf Maple
Acer macrophyllum,Yellowstone National Park,252,Vascular Plant,Bigleaf Maple,Not Evaluated,Bigleaf Maple
Acer macrophyllum,Yosemite National Park,134,Vascular Plant,Bigleaf Maple,Not Evaluated,Bigleaf Maple
Acer negundo,Bryce National Park,92,Vascular Plant,"Boxelder, Box-Elder",Not Evaluated,Boxelder
Acer negundo,Great Smoky Mountains National Park,72,Vascular Plant,"Boxelder, Box-Elder",Not Evaluated,Boxelder
Acer negundo,Yellowstone National Park,257,Vascular Plant,"Boxelder, Box-Elder",Not Evaluated,Boxelder
Acer negundo,Yosemite National Park,179,Vascular Plant,"Boxelder, Box-Elder",Not Evaluated,Boxelder
Acer negundo var. violaceum,Bryce National Park,91,Vascular Plant,Boxelder,Not Evaluated,Boxelder
Acer negundo var. violaceum,Great Smoky Mountains National Park,84,Vascular Plant,Boxelder,Not Evaluated,Boxelder
Acer negundo var. violaceum,Yellowstone National Park,222,Vascular Plant,Boxelder,Not Evaluated,Boxelder
Acer negundo var. violaceum,Yosemite National Park,164,Vascular Plant,Boxelder,Not Evaluated,Boxelder
Acer nigrum,Bryce National Park,110,Vascular Plant,Black Maple,Not Evaluated,Black Maple
Acer nigrum,Great Smoky Mountains National Park,86,Vascular Plant,Black Maple,Not Evaluated,Black Maple
Acer nigrum,Yellowstone National Park,258,Vascular Plant,Black Maple,Not Evaluated,Black Maple
Acer nigrum,Yosemite National Park,156,Vascular Plant,Black Maple,Not Evaluated,Black Maple
Acer pensylvanicum,Bryce National Park,91,Vascular Plant,"Striped Maple, Striped Maple, Moosewood",Not Evaluated,Striped Maple
Acer pensylvanicum,Great Smoky Mountains National Park,96,Vascular Plant,"Striped Maple, Striped Maple, Moosewood",Not Evaluated,Striped Maple
Acer pensylvanicum,Yellowstone National Park,284,Vascular Plant,"Striped Maple, Striped Maple, Moosewood",Not Evaluated,Striped Maple
Acer pensylvanicum,Yosemite National Park,134,Vascular Plant,"Striped Maple, Striped Maple, Moosewood",Not Evaluated,Striped Maple
Acer platanoides,Bryce National Park,83,Vascular Plant,Norway Maple,Not Evaluated,Norway Maple
Acer platanoides,Great Smoky Mountains National Park,53,Vascular Plant,Norway Maple,Not Evaluated,Norway Maple
Acer platanoides,Yellowstone National Park,243,Vascular Plant,Norway Maple,Not Evaluated,Norway Maple
Acer platanoides,Yosemite National Park,189,Vascular Plant,Norway Maple,Not Evaluated,Norway Maple
Acer rubrum var. rubrum,Bryce National Park,114,Vascular Plant,Red Maple,Not Evaluated,Red Maple
Acer rubrum var. rubrum,Great Smoky Mountains National Park,67,Vascular Plant,Red Maple,Not Evaluated,Red Maple
Acer rubrum var. rubrum,Yellowstone National Park,274,Vascular Plant,Red Maple,Not Evaluated,Red Maple
Acer rubrum var. rubrum,Yosemite National Park,147,Vascular Plant,Red Maple,Not Evaluated,Red Maple
Acer rubrum var. trilobum,Bryce National Park,99,Vascular Plant,Trident Maple,Not Evaluated,Trident Maple
Acer rubrum var. trilobum,Great Smoky Mountains National Park,105,Vascular Plant,Trident Maple,Not Evaluated,Trident Maple
Acer rubrum var. trilobum,Yellowstone National Park,251,Vascular Plant,Trident Maple,Not Evaluated,Trident Maple
Acer rubrum var. trilobum,Yosemite National Park,110,Vascular Plant,Trident Maple,Not Evaluated,Trident Maple
Acer saccharinum,Bryce National Park,121,Vascular Plant,Silver Maple,Not Evaluated,Silver Maple
Acer saccharinum,Great Smoky Mountains National Park,86,Vascular Plant,Silver Maple,Not Evaluated,Silver Maple
Acer saccharinum,Yellowstone National Park,229,Vascular Plant,Silver Maple,Not Evaluated,Silver Maple
Acer saccharinum,Yosemite National Park,167,Vascular Plant,Silver Maple,Not Evaluated,Silver Maple
Acer saccharum,Bryce National Park,124,Vascular Plant,Sugar Maple,Not Evaluated,Sugar Maple
Acer saccharum,Great Smoky Mountains National Park,59,Vascular Plant,Sugar Maple,Not Evaluated,Sugar Maple
Acer saccharum,Yellowstone National Park,236,Vascular Plant,Sugar Maple,Not Evaluated,Sugar Maple
Acer saccharum,Yosemite National Park,116,Vascular Plant,Sugar Maple,Not Evaluated,Sugar Maple
Acer spicatum,Bryce National Park,89,Vascular Plant,Mountain Maple,Not Evaluated,Mountain Maple
Acer spicatum,Great Smoky Mountains National Park,82,Vascular Plant,Mountain Maple,Not Evaluated,Mountain Maple
Acer spicatum,Yellowstone National Park,263,Vascular Plant,Mountain Maple,Not Evaluated,Mountain Maple
Acer spicatum,Yosemite National Park,143,Vascular Plant,Mountain Maple,Not Evaluated,Mountain Maple
Achillea millefolium,Bryce National Park,99,Vascular Plant,"Bloodwort, Carpenter's Weed, Common Yarrow, Hierba De Las Cortaduras, Milenrama, Milfoil, Plumajillo, Western Yarrow, Yarrow",Not Evaluated,Bloodwort
Achillea millefolium,Great Smoky Mountains National Park,45,Vascular Plant,"Bloodwort, Carpenter's Weed, Common Yarrow, Hierba De Las Cortaduras, Milenrama, Milfoil, Plumajillo, Western Yarrow, Yarrow",Not Evaluated,Bloodwort
Achillea millefolium,Yellowstone National Park,270,Vascular Plant,"Bloodwort, Carpenter's Weed, Common Yarrow, Hierba De Las Cortaduras, Milenrama, Milfoil, Plumajillo, Western Yarrow, Yarrow",Not Evaluated,Bloodwort
Achillea millefolium,Yosemite National Park,168,Vascular Plant,"Bloodwort, Carpenter's Weed, Common Yarrow, Hierba De Las Cortaduras, Milenrama, Milfoil, Plumajillo, Western Yarrow, Yarrow",Not Evaluated,Bloodwort
Achillea millefolium var. occidentalis,Bryce National Park,119,Vascular Plant,Yarrow,Not Evaluated,Yarrow
Achillea millefolium var. occidentalis,Great Smoky Mountains National Park,87,Vascular Plant,Yarrow,Not Evaluated,Yarrow
Achillea millefolium var. occidentalis,Yellowstone National Park,277,Vascular Plant,Yarrow,Not Evaluated,Yarrow
Achillea millefolium var. occidentalis,Yosemite National Park,131,Vascular Plant,Yarrow,Not Evaluated,Yarrow
Achnatherum X bloomeri,Bryce National Park,91,Vascular Plant,"Achnatherum, Bloomer Ricegrass, Bloomer's Ricegrass",Not Evaluated,Achnatherum
Achnatherum X bloomeri,Great Smoky Mountains National Park,82,Vascular Plant,"Achnatherum, Bloomer Ricegrass, Bloomer's Ricegrass",Not Evaluated,Achnatherum
Achnatherum X bloomeri,Yellowstone National Park,261,Vascular Plant,"Achnatherum, Bloomer Ricegrass, Bloomer's Ricegrass",Not Evaluated,Achnatherum
Achnatherum X bloomeri,Yosemite National Park,155,Vascular Plant,"Achnatherum, Bloomer Ricegrass, Bloomer's Ricegrass",Not Evaluated,Achnatherum
Achnatherum contractum,Bryce National Park,122,Vascular Plant,Contracted Ricegrass,Species of Concern,Contracted Ricegrass
Achnatherum contractum,Great Smoky Mountains National Park,43,Vascular Plant,Contracted Ricegrass,Species of Concern,Contracted Ricegrass
Achnatherum contractum,Yellowstone National Park,219,Vascular Plant,Contracted Ricegrass,Species of Concern,Contracted Ricegrass
Achnatherum contractum,Yosemite National Park,165,Vascular Plant,Contracted Ricegrass,Species of Concern,Contracted Ricegrass
Achnatherum hymenoides,Bryce National Park,90,Vascular Plant,Indian Ricegrass,Not Evaluated,Indian Ricegrass
Achnatherum hymenoides,Great Smoky Mountains National Park,88,Vascular Plant,Indian Ricegrass,Not Evaluated,Indian Ricegrass
Achnatherum hymenoides,Yellowstone National Park,233,Vascular Plant,Indian Ricegrass,Not Evaluated,Indian Ricegrass
Achnatherum hymenoides,Yosemite National Park,156,Vascular Plant,Indian Ricegrass,Not Evaluated,Indian Ricegrass
Achnatherum latiglume,Bryce National Park,92,Vascular Plant,Sierra Needlegrass,Not Evaluated,Sierra Needlegrass
Achnatherum latiglume,Great Smoky Mountains National Park,76,Vascular Plant,Sierra Needlegrass,Not Evaluated,Sierra Needlegrass
Achnatherum latiglume,Yellowstone National Park,233,Vascular Plant,Sierra Needlegrass,Not Evaluated,Sierra Needlegrass
Achnatherum latiglume,Yosemite National Park,137,Vascular Plant,Sierra Needlegrass,Not Evaluated,Sierra Needlegrass
Achnatherum lemmonii,Bryce National Park,87,Vascular Plant,Lemmon's Needlegrass,Not Evaluated,Lemmon's Needlegrass
Achnatherum lemmonii,Great Smoky Mountains National Park,100,Vascular Plant,Lemmon's Needlegrass,Not Evaluated,Lemmon's Needlegrass
Achnatherum lemmonii,Yellowstone National Park,245,Vascular Plant,Lemmon's Needlegrass,Not Evaluated,Lemmon's Needlegrass
Achnatherum lemmonii,Yosemite National Park,149,Vascular Plant,Lemmon's Needlegrass,Not Evaluated,Lemmon's Needlegrass
Achnatherum lettermanii,Bryce National Park,63,Vascular Plant,"Letterman Needlegrass, Letterman's Needlegrass",Not Evaluated,Letterman Needlegrass
Achnatherum lettermanii,Great Smoky Mountains National Park,60,Vascular Plant,"Letterman Needlegrass, Letterman's Needlegrass",Not Evaluated,Letterman Needlegrass
Achnatherum lettermanii,Yellowstone National Park,252,Vascular Plant,"Letterman Needlegrass, Letterman's Needlegrass",Not Evaluated,Letterman Needlegrass
Achnatherum lettermanii,Yosemite National Park,129,Vascular Plant,"Letterman Needlegrass, Letterman's Needlegrass",Not Evaluated,Letterman Needlegrass
Achnatherum nelsonii ssp. dorei,Bryce National Park,101,Vascular Plant,"Columbia Needlegrass, Dore's Needlegrass",Not Evaluated,Columbia Needlegrass
Achnatherum nelsonii ssp. dorei,Great Smoky Mountains National Park,63,Vascular Plant,"Columbia Needlegrass, Dore's Needlegrass",Not Evaluated,Columbia Needlegrass
Achnatherum nelsonii ssp. dorei,Yellowstone National Park,221,Vascular Plant,"Columbia Needlegrass, Dore's Needlegrass",Not Evaluated,Columbia Needlegrass
Achnatherum nelsonii ssp. dorei,Yosemite National Park,151,Vascular Plant,"Columbia Needlegrass, Dore's Needlegrass",Not Evaluated,Columbia Needlegrass
Achnatherum nevadense,Bryce National Park,74,Vascular Plant,Nevada Needlegrass,Not Evaluated,Nevada Needlegrass
Achnatherum nevadense,Great Smoky Mountains National Park,36,Vascular Plant,Nevada Needlegrass,Not Evaluated,Nevada Needlegrass
Achnatherum nevadense,Yellowstone National Park,272,Vascular Plant,Nevada Needlegrass,Not Evaluated,Nevada Needlegrass
Achnatherum nevadense,Yosemite National Park,149,Vascular Plant,Nevada Needlegrass,Not Evaluated,Nevada Needlegrass
Achnatherum occidentale,Bryce National Park,106,Vascular Plant,Western Needlegrass,Not Evaluated,Western Needlegrass
